Executing example 1: Ecosystem with manual co-evolution support where a meta model is changed
[PUSH] ArtifactVersion[name=executable, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=customerMicroserviceSpringBootGenVer1.jar, version=0]
[M2T] Generating Python microservices for model ArtifactVersion[name=customerMicroservice, version=1]
[PUSH] ArtifactVersion[name=customerMicroservicePythonGen, version=1]
[M2T] Generating Dot Net microservices for model ArtifactVersion[name=customerMicroservice, version=1]
[PUSH] ArtifactVersion[name=customerMicroserviceDotNetGen, version=1]
[PUSH] ArtifactVersion[name=microservice, version=1]
[PUSH] ArtifactVersion[name=customerMicroservice, version=2]
[PUSH] ArtifactVersion[name=microserviceToSpringBoot, version=1]
[CONSUME] Validating generator ArtifactVersion[name=microserviceToSpringBoot, version=1]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=customerMicroservice, version=2]
[PUSH] ArtifactVersion[name=customerMicroserviceSpringBootGen, version=2]
[BUILD] Unit testing and building ArtifactVersion[name=customerMicroserviceSpringBootGen, version=2]
[PUSH] ArtifactVersion[name=customerMicroserviceSpringBootGenVer2.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=customerMicroserviceSpringBootGenVer2.jar, version=0]
